eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,54.42714635753172,0.5817376631260524,0.67,0.4648569529409902,0.3114541584704635
0.67,54.72784850704416,0.5774608739843899,0.67,0.4621715530168587,0.30965494052129533
0.67,55.028550656556604,0.5731681792679663,0.67,0.4594633196217817,0.3078404241465938
0.67,55.32925280606904,0.5688596972147087,0.67,0.45673217886018325,0.30601055983632286
0.67,55.62995495558149,0.5645355464973904,0.67,0.453978059063515,0.30416529957255506
0.67,55.930657105093935,0.5601958462203621,0.67,0.45120089086919923,0.3023045968823635
0.67,56.231359254606375,0.5558407159162717,0.67,0.44840060730049636,0.3004284068913326
0.67,56.53206140411882,0.5514702755427712,0.67,0.44557714384726743,0.2985366863776692
0.67,56.83276355363126,0.5470846454792132,0.67,0.4427304385475997,0.29662939382689185
0.67,57.133465703143706,0.5426839465233346,0.67,0.4398604320702597,0.294706489487074
0.67,57.434167852656145,0.5382682998879301,0.67,0.436967067797939,0.2927679354246192
0.67,57.7348700021686,0.5338378271975127,0.67,0.4340502919112536,0.29081369558053993
0.67,58.03557215168104,0.5293926504849645,0.67,0.4311100534734543,0.2888437358272144
0.67,58.33627430119348,0.5249328921881747,0.67,0.4281463045158071,0.2868580240255908
0.67,58.636976450705916,0.5204586751466673,0.67,0.42515900012359636,0.2848565300828096
0.67,58.937678600218355,0.5159701225982182,0.67,0.4221480985227044,0.28283922601021194
0.67,59.23838074973081,0.5114673581754596,0.67,0.4191135611667148,0.2808060859816989
0.67,59.53908289924325,0.5069505059024765,0.67,0.4160553528244893,0.27875708639240787
0.67,59.8397850487557,0.5024196901913884,0.67,0.41297344166816125,0.2766922059176681
0.67,60.14048719826814,0.4978750358389244,0.67,0.4098677993614882,0.27461142557219714
0.67,60.44118934778058,0.4933166680229843,0.67,0.4067384011485044,0.272514728769498
0.67,60.74189149729302,0.48874471229919164,0.67,0.4035852259424098,0.2704021013814146
0.67,61.04259364680546,0.48415929459743506,0.67,0.4004082564146303,0.26827353179780233
0.67,61.34329579631791,0.4795605412183996,0.67,0.39720747908398235,0.26612901098626823
0.67,61.64399794583035,0.47494857883008856,0.67,0.3939828844058715,0.2639685325519339
0.67,61.944700095342796,0.47032353446433334,0.67,0.39073446686145097,0.2617920927971722
0.67,62.24540224485524,0.4656855355132957,0.67,0.38746222504666805,0.2595996907812676
0.67,62.54610439436768,0.46103470972595806,0.67,0.38416616176111756,0.2573913283799488
0.67,62.84680654388012,0.456371185204605,0.67,0.3808462840966249,0.25516701034473865
0.67,63.14750869339256,0.45169509040129496,0.67,0.37750260352547443,0.2529267443620679
0.67,63.44821084290501,0.44700655411432183,0.67,0.37413513598820025,0.2506705411120942
0.67,63.74891299241745,0.44230570548466824,0.67,0.3707439019808505,0.2483984143271699
0.67,64.0496151419299,0.43759267399244695,0.67,0.36732892664163647,0.24611038084989645
0.67,64.35031729144234,0.43286758945333603,0.67,0.36389023983687524,0.24380646069070647
0.67,64.65101944095478,0.4281305820150022,0.67,0.36042787624613215,0.24148667708490856
0.67,64.95172159046722,0.42338178215351635,0.67,0.35694187544646533,0.23915105654913177
0.67,65.25242373997966,0.4186213206697597,0.67,0.35343228199567767,0.23679962893710405
0.67,65.55312588949211,0.4138493286858209,0.67,0.34989914551447227,0.23443242749469642
0.67,65.85382803900455,0.40906593764138527,0.67,0.34634252076741395,0.2320494889141674
0.67,66.154530188517,0.40427127929011264,0.67,0.3427624677425882,0.22965085338753413
0.67,66.45523233802945,0.39946548569601037,0.67,0.33915905172985766,0.2272365646590047
0.67,66.75593448754188,0.39464868922979424,0.67,0.33553234339760474,0.2248066700763952
0.67,67.05663663705432,0.38982102256524304,0.67,0.33188241886785497,0.22236122064146285
0.67,67.35733878656676,0.3849826186755443,0.67,0.3282093597896705,0.21990027105907922
0.67,67.65804093607922,0.38013361082963126,0.67,0.3245132534107025,0.21742387978517067
0.67,67.95874308559165,0.375274132588513,0.67,0.3207941926467923,0.2149321090733509
0.67,68.25944523510411,0.3704043178015942,0.67,0.3170522761495056,0.21242502502016875
0.67,68.56014738461654,0.3655243006029902,0.67,0.31328760837149017,0.20990269760889846
0.67,68.86084953412899,0.3606342154078306,0.67,0.3095002996295385,0.20736520075179082
0.67,69.16155168364142,0.35573419690855806,0.67,0.3056904661652452,0.20481261233071432
0.67,69.46225383315387,0.3508243800712181,0.67,0.30185823020314184,0.20224501423610505
0.67,69.76295598266631,0.3459049001317412,0.67,0.29800372000619435,0.19966249240415024
0.67,70.06365813217876,0.34097589259221894,0.67,0.29412706992855076,0.19706513685212906
0.67,70.3643602816912,0.3360374932171701,0.67,0.2902284204654211,0.19445304171183214
0.67,70.66506243120365,0.3310898380298029,0.67,0.28630791829998004,0.19182630526098662
0.67,70.96576458071608,0.3261330633082669,0.67,0.28236571634717555,0.18918502995260764
0.67,71.26646673022853,0.3211673055819002,0.67,0.27840197379433373,0.1865293224422036
0.67,71.56716887974096,0.3161927016274687,0.67,0.2744168561384482,0.1838592936127603
0.67,71.86787102925342,0.3112093884653985,0.67,0.27041053522004427,0.18117505859742966
0.67,72.16857317876585,0.3062175033560025,0.67,0.2663831892535115,0.17847673679985274
0.67,72.46927532827831,0.30121718379569845,0.67,0.2623350028537954,0.17576445191204298
0.67,72.76997747779075,0.2962085675132234,0.67,0.2582661670593494,0.17303833192976412
0.67,73.07067962730319,0.2911917924658385,0.67,0.2541768793512398,0.17029850916533068
0.67,73.37138177681562,0.28616699683553004,0.67,0.25006734366831024,0.16754512025776788
0.67,73.67208392632807,0.28113431902520314,0.67,0.24593777041830522,0.16477830618026454
0.67,73.97278607584052,0.2760938976548694,0.67,0.24178837648486262,0.16199821224485797
0.67,74.27348822535296,0.2710458715578296,0.67,0.2376193852302841,0.1592049881042904
0.67,74.57419037486541,0.26599037977684803,0.67,0.23343102649399633,0.15639878775097754
0.67,74.87489252437786,0.26092756156032465,0.67,0.22922353658662414,0.1535797695130382
0.67,75.17559467389029,0.25585755635845797,0.67,0.22499715827959266,0.15074809604732708
0.67,75.47629682340273,0.250780503819405,0.67,0.22075214079018865,0.1479039343294264
0.67,75.77699897291518,0.24569654378543426,0.67,0.21648873976200886,0.14504745564054597
0.67,76.07770112242763,0.24060581628907485,0.67,0.2122072172407326,0.14217883555129088
0.67,76.37840327194006,0.23550846154925814,0.67,0.2079078416451564,0.1392982539022548
0.67,76.67910542145252,0.23040461996745623,0.67,0.20359088773343945,0.13640589478140444
